rank,latitude,longitude,ml_probability,on_triassic,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score,priority,elevation_m,slope_deg,aspect_deg,tri,tpi_15m,tpi_adj,composite_v2,rank_v2,rank_v1,rank_delta
43,40.822777778066126,-117.69694444407966,0.78989953,False,1309,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8899,6,1713.047607421875,34.03148651123047,84.72515869140625,0.3592529296875,-27.21435546875,0.1,0.9899,1,6,5
6,40.41888888837992,-117.70444444408771,0.83046496,False,3338,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8805,7,1557.119873046875,10.555048942565918,85.2508316040039,0.01953125,-15.5771484375,0.1,0.9804999999999999,2,7,5
1,40.78722222244038,-117.45638888826534,0.85334641,False,13040,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8533,8,1426.6485595703125,10.055235862731934,88.04967498779297,0.0296630859375,-65.361328125,0.1,0.9532999999999999,3,8,5
15,40.40472222168528,-118.24388888911248,0.80045837,False,52,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.2,1.0,1,1731.5267333984375,34.988155364990234,84.49395751953125,0.0784912109375,125.2650146484375,-0.05,0.95,4,1,-3
35,40.26527777696556,-117.47972222162376,0.79251772,False,4157,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8425,13,1473.40576171875,10.237759590148926,84.57341003417969,0.04736328125,-14.74853515625,0.1,0.9425,5,13,8
17,40.11305555444284,-117.20249999910334,0.79911894,False,4801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8491,10,1510.1595458984375,10.820047378540039,86.05303955078125,0.0738525390625,-4.466552734375,0.05,0.8991,6,10,4
19,40.79972222246506,-118.1402777778899,0.79732817,False,14464,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973,28,1583.483642578125,10.8788480758667,87.12285614013672,0.07275390625,-31.963134765625,0.1,0.8973,7,28,21
24,40.09555555440829,-117.2455555547052,0.79563963,False,7060,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,1538.3585205078125,10.674291610717773,86.86652374267578,0.03662109375,-22.9644775390625,0.1,0.8956,8,32,24
24,40.09555555440829,-117.2455555547052,0.79563963,False,7060,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,1734.42236328125,10.849762916564941,85.93436431884766,0.08984375,-37.7158203125,0.1,0.8956,8,32,24
27,40.20916666574369,-117.58777777729556,0.7951619,False,992,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8952,2,1732.699951171875,34.19721603393555,84.67594146728516,0.163818359375,-1.3453369140625,0.0,0.8952,10,2,-8
31,40.3719444438428,-117.57694444395058,0.7937991,False,6488,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7938,37,1702.19580078125,34.989402770996094,24.466934204101562,0.06005859375,-117.9000244140625,0.1,0.8937999999999999,11,37,26
34,40.11305555444284,-117.20277777688142,0.79283285,False,4817,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8428,12,1509.853515625,10.823575973510742,87.70885467529297,0.128662109375,-5.564697265625,0.05,0.8928,12,12,0
40,40.37166666606448,-117.57694444395058,0.79112983,False,6462,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7911,42,1695.0157470703125,34.297454833984375,26.41851806640625,0.073974609375,-125.5848388671875,0.1,0.8911,13,42,29
41,40.74055555568159,-117.6313888884536,0.79059702,False,9897,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7906,43,1677.745849609375,33.61326217651367,84.10848999023438,0.2755126953125,-113.09228515625,0.1,0.8906,14,43,29
49,40.79583333356849,-117.4591666660461,0.78878969,False,14024,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7888,49,1669.3021240234375,35.257266998291016,29.853187561035156,0.903076171875,-44.6683349609375,0.1,0.8887999999999999,15,49,34
2,40.90722222267727,-118.46444444490528,0.85232025,False,41459,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8523,9,1436.3778076171875,10.453691482543945,85.31071472167969,0.0855712890625,0.89453125,0.0,0.8523,16,9,-7
28,40.55027777752818,-118.23250000021132,0.7946049,False,1361,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8946,3,1668.3492431640625,35.33872604370117,84.81990051269531,0.075439453125,6.3199462890625,-0.05,0.8445999999999999,17,3,-14
3,40.434444443966186,-117.68666666629083,0.84231639,False,4781,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8923,4,1536.197265625,10.14393138885498,85.8329849243164,0.036376953125,6.7947998046875,-0.05,0.8422999999999999,18,4,-14
37,40.83972222254402,-117.72083333299425,0.79204267,False,1059,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.892,5,1696.8897705078125,33.599327087402344,24.933223724365234,0.154541015625,93.7452392578125,-0.05,0.842,19,5,-14
4,39.15916666367088,-118.86083333422056,0.83943707,False,124118,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8394,15,1524.565185546875,10.615339279174805,84.8514175415039,0.090087890625,-14.1707763671875,0.0,0.8394,20,15,-5
50,40.406388888355245,-117.70555555520004,0.78864872,False,2194,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8386,16,1555.4888916015625,14.292210578918457,85.68914794921875,0.0523681640625,-2.7227783203125,0.0,0.8386,21,16,-5
5,38.458888884510685,-118.39972222261343,0.83049053,False,148217,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8305,17,1734.7410888671875,10.571502685546875,85.67540740966797,0.060302734375,-37.9306640625,0.0,0.8305,22,17,-5
8,39.02416666340438,-118.77055555634568,0.82007194,False,126554,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8201,19,1467.728759765625,10.557125091552734,86.43295288085938,0.0281982421875,39.7261962890625,0.0,0.8201,23,19,-4
10,39.15916666367088,-118.86111111199864,0.81427044,False,124134,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8143,21,1524.159423828125,10.27896499633789,83.51496124267578,0.0157470703125,-13.7059326171875,0.0,0.8143,24,21,-3
11,40.77611111130734,-118.51138888940022,0.81180894,False,33005,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8118,22,1679.367431640625,10.229355812072754,85.36847686767578,0.104736328125,9.2730712890625,0.0,0.8118,25,22,-3
12,38.70111110721108,-118.78805555636453,0.80561513,False,149610,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8056,23,1659.4794921875,34.94295883178711,84.79347229003906,0.0264892578125,83.6199951171875,0.0,0.8056,26,23,-3
13,38.7247222183688,-118.9436111120874,0.80345458,False,158109,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8035,24,1553.3779296875,10.973362922668457,86.48104858398438,0.07958984375,2.1385498046875,0.0,0.8035,27,24,-3
14,39.15916666367088,-118.86055555644248,0.80088222,False,124101,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8009,25,1525.0184326171875,10.867324829101562,85.73336791992188,0.041748046875,-14.58154296875,0.0,0.8009,28,25,-3
16,39.81638888719053,-118.15750000013064,0.79985476,False,29976,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7999,26,1690.9591064453125,34.695953369140625,84.5772705078125,0.172119140625,-117.78662109375,0.0,0.7999,29,26,-3
18,39.886111109550384,-118.9233333342878,0.79886627,False,73098,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7989,27,1405.7366943359375,10.515250205993652,85.21749877929688,0.0704345703125,-2.10302734375,0.0,0.7989,30,27,-3
20,39.18361110816358,-118.8083333341641,0.79725087,False,119056,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973,28,1583.483642578125,10.8788480758667,87.12285614013672,0.07275390625,-31.963134765625,0.0,0.7973,31,28,-3
20,39.18361110816358,-118.8083333341641,0.79725087,False,119056,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973,28,1685.1953125,33.60590744018555,84.08419799804688,0.18994140625,28.83837890625,0.0,0.7973,31,28,-3
21,38.43222221779138,-118.56666666723748,0.79610622,False,159055,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7961,30,1693.790771484375,31.851604461669922,84.38243103027344,0.2392578125,108.2032470703125,0.0,0.7961,33,30,-3
22,38.701388884989406,-118.79138888970142,0.79598647,False,149801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.796,31,1665.53564453125,34.884925842285156,85.82811737060547,0.09521484375,54.306884765625,0.0,0.796,34,31,-3
23,40.1391666656055,-117.47222222161572,0.79586679,False,3371,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8459,11,1668.370361328125,34.156410217285156,19.847578048706055,0.766357421875,39.7525634765625,-0.05,0.7958999999999999,35,11,-24
25,38.458888884510685,-118.40000000039151,0.79558283,False,148230,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,1538.3585205078125,10.674291610717773,86.86652374267578,0.03662109375,-22.9644775390625,0.0,0.7956,36,32,-4
25,38.458888884510685,-118.40000000039151,0.79558283,False,148230,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,1734.42236328125,10.849762916564941,85.93436431884766,0.08984375,-37.7158203125,0.0,0.7956,36,32,-4
26,39.65472222020471,-117.85888888869832,0.79540676,False,28718,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7954,34,1696.8526611328125,35.709110260009766,26.231584548950195,0.8685302734375,-117.1907958984375,0.0,0.7954,38,34,-4
30,40.73444444455841,-118.79111111192336,0.79397529,False,51578,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794,35,1647.8858642578125,32.45114517211914,85.38846588134766,0.0484619140625,22.1751708984375,0.0,0.794,39,35,-4
30,40.73444444455841,-118.79111111192336,0.79397529,False,51578,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794,35,1646.93212890625,34.39820861816406,26.26833152770996,0.716552734375,66.98388671875,0.0,0.794,39,35,-4
32,39.1827777748286,-118.53250000053404,0.79341787,False,99885,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7934,38,1697.09033203125,35.63712692260742,28.126432418823242,0.1055908203125,70.6500244140625,0.0,0.7934,41,38,-3
33,39.02388888562605,-118.771666667458,0.79313195,False,126652,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7931,39,1462.1905517578125,10.484132766723633,88.0066146850586,0.0008544921875,37.9893798828125,0.0,0.7931,42,39,-3
38,39.728055553682815,-117.78694444417648,0.79169452,False,22199,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7917,41,1666.850830078125,33.905731201171875,23.660982131958008,0.053955078125,-144.403076171875,0.0,0.7917,43,41,-2
39,40.40111111056704,-117.2077777768868,0.79122305,False,2143,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8412,14,1697.098388671875,35.16075897216797,27.337032318115234,0.5667724609375,61.7457275390625,-0.05,0.7911999999999999,44,14,-30
44,38.458888884510685,-118.39944444483535,0.78983712,False,148203,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898,45,1735.0361328125,10.407114028930664,87.72438049316406,0.00830078125,-38.1685791015625,0.0,0.7898,46,45,-1
44,38.458888884510685,-118.39944444483535,0.78983712,False,148203,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898,45,1659.657958984375,33.99907302856445,28.078651428222656,0.005615234375,-67.9261474609375,0.0,0.7898,46,45,-1
45,38.25277777299269,-118.36638888924423,0.78978586,False,166378,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898,45,1659.657958984375,33.99907302856445,28.078651428222656,0.005615234375,-67.9261474609375,0.0,0.7898,46,45,-1
