priority,latitude,longitude,ml_probability,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score
34,39.65472222020471,-117.85888888869832,0.79540676,28718,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7954
35,40.73444444455841,-118.79111111192336,0.79397529,51578,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794
35,40.751111111257984,-117.50916666609989,0.79402113,11544,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794
37,40.3719444438428,-117.57694444395058,0.7937991,6488,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7938
38,39.1827777748286,-118.53250000053404,0.79341787,99885,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7934
39,39.02388888562605,-118.771666667458,0.79313195,126652,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7931
40,40.795555555790166,-117.4591666660461,0.79210216,13994,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7921
41,39.728055553682815,-117.78694444417648,0.79169452,22199,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7917
42,40.37166666606448,-117.57694444395058,0.79112983,6462,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7911
43,40.74055555568159,-117.6313888884536,0.79059702,9897,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7906
44,40.724722222317,-117.5219444438914,0.7904619,10438,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7905
45,38.25277777299269,-118.36638888924423,0.78978586,166378,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898
45,38.458888884510685,-118.39944444483535,0.78983712,148203,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898
47,38.57583332918599,-118.40527777817496,0.78896171,137859,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.789
48,39.22138888601594,-118.3586111114581,0.78885204,84747,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7889
49,39.696944442510286,-117.85222222202448,0.78882098,28188,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7888
49,40.79583333356849,-117.4591666660461,0.78878969,14024,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7888
