occurrence_id,latitude,longitude,formation_v3,elevation_m,slope_deg,aspect_deg,tri,tpi
occ:361674,40.133331,-118.300003,Prida,1395.8104248046875,6.66056489944458,170.4203338623047,10.184005737304688,-4.8487548828125
occ:467069,40.133331,-118.300003,Prida,1395.8104248046875,6.66056489944458,170.4203338623047,10.184005737304688,-4.8487548828125
occ:467070,40.133331,-118.300003,Prida,1395.8104248046875,6.66056489944458,170.4203338623047,10.184005737304688,-4.8487548828125
occ:467071,40.133331,-118.300003,Prida,1395.8104248046875,6.66056489944458,170.4203338623047,10.184005737304688,-4.8487548828125
occ:467073,40.133331,-118.300003,Prida,1395.8104248046875,6.66056489944458,170.4203338623047,10.184005737304688,-4.8487548828125
occ:467074,40.133331,-118.300003,Prida,1395.8104248046875,6.66056489944458,170.4203338623047,10.184005737304688,-4.8487548828125
occ:714514,38.487,-118.083,Gabbs,1698.5494384765625,15.296494483947754,144.82388305664062,16.73468017578125,-3.9183349609375
occ:900174,38.431946,-118.04583,Luning,1575.9393310546875,2.352935552597046,276.02825927734375,5.273590087890625,4.444091796875
occ:900219,38.431946,-118.04583,Luning,1575.9393310546875,2.352935552597046,276.02825927734375,5.273590087890625,4.444091796875
occ:900302,38.402,-118.016998,Luning,1763.7728271484375,23.990264892578125,30.75042152404785,27.084701538085938,-9.6226806640625
occ:906286,40.0,-116.716667,Prida_inferred,,,,,
occ:906287,40.0,-116.716667,Prida_inferred,,,,,
occ:906313,40.548058,-118.099998,Prida_inferred,1559.8931884765625,2.9613397121429443,108.90025329589844,6.2271881103515625,-3.60693359375
occ:906314,40.548058,-118.099998,Prida_inferred,1559.8931884765625,2.9613397121429443,108.90025329589844,6.2271881103515625,-3.60693359375
occ:908629,38.876667,-117.591393,Luning,2142.954833984375,10.192620277404785,211.91500854492188,15.051177978515625,-1.00927734375
occ:908660,40.059166,-117.558891,Favret,1387.897705078125,12.50451946258545,336.3049011230469,15.98577880859375,-2.990234375
occ:908661,40.224998,-117.633888,Favret,1557.35986328125,8.786528587341309,245.78683471679688,9.982284545898438,4.8963623046875
occ:909076,40.048611,-117.53833,Favret,1700.8870849609375,20.54060173034668,253.150390625,24.668701171875,-2.10107421875
occ:934002,40.405666,-118.136673,Prida_inferred,1756.26220703125,24.232654571533203,192.11424255371094,29.650039672851562,2.8348388671875
occ:1095497,40.049999,-117.540001,Favret,1642.72802734375,11.203429222106934,261.3429870605469,27.807418823242188,-23.760498046875
occ:1186493,39.578609,-117.532784,Prida,1757.910400390625,16.710594177246094,245.98468017578125,16.23333740234375,-3.521484375
occ:1412645,40.277779,-118.075836,Prida,1481.4884033203125,10.75725269317627,139.4516143798828,17.029708862304688,8.927978515625
occ:1412647,40.277779,-118.075836,Prida,1481.4884033203125,10.75725269317627,139.4516143798828,17.029708862304688,8.927978515625
occ:1417529,40.001389,-117.539444,Favret,2349.978271484375,8.708626747131348,130.6654510498047,18.00848388671875,15.508544921875
occ:1419019,40.50861,-118.126663,Prida,1748.944580078125,13.21703052520752,149.6813507080078,19.060638427734375,-1.6630859375
occ:1419160,40.033333,-117.566666,Favret,1712.2269287109375,23.682418823242188,281.4078369140625,37.16777038574219,23.4791259765625
occ:1419479,38.876667,-117.591393,Luning,2142.954833984375,10.192620277404785,211.91500854492188,15.051177978515625,-1.00927734375
occ:1419480,38.876667,-117.591393,Luning,2142.954833984375,10.192620277404785,211.91500854492188,15.051177978515625,-1.00927734375
occ:1504406,40.059166,-117.558891,Favret,1387.897705078125,12.50451946258545,336.3049011230469,15.98577880859375,-2.990234375
occ:1583679,41.272499,-114.306946,Prida_inferred,,,,,
