priority,latitude,longitude,elevation_m,slope_deg,aspect_deg,tri,tpi_15m
1,40.40472222168528,-118.24388888911248,1731.5267333984375,34.988155364990234,84.49395751953125,0.0784912109375,125.2650146484375
2,40.20916666574369,-117.58777777729556,1732.699951171875,34.19721603393555,84.67594146728516,0.163818359375,-1.3453369140625
3,40.55027777752818,-118.23250000021132,1668.3492431640625,35.33872604370117,84.81990051269531,0.075439453125,6.3199462890625
4,40.434444443966186,-117.68666666629083,1536.197265625,10.14393138885498,85.8329849243164,0.036376953125,6.7947998046875
5,40.83972222254402,-117.72083333299425,1696.8897705078125,33.599327087402344,24.933223724365234,0.154541015625,93.7452392578125
6,40.822777778066126,-117.69694444407966,1713.047607421875,34.03148651123047,84.72515869140625,0.3592529296875,-27.21435546875
7,40.41888888837992,-117.70444444408771,1557.119873046875,10.555048942565918,85.2508316040039,0.01953125,-15.5771484375
8,40.78722222244038,-117.45638888826534,1426.6485595703125,10.055235862731934,88.04967498779297,0.0296630859375,-65.361328125
9,40.90722222267727,-118.46444444490528,1436.3778076171875,10.453691482543945,85.31071472167969,0.0855712890625,0.89453125
10,40.11305555444284,-117.20249999910334,1510.1595458984375,10.820047378540039,86.05303955078125,0.0738525390625,-4.466552734375
11,40.1391666656055,-117.47222222161572,1668.370361328125,34.156410217285156,19.847578048706055,0.766357421875,39.7525634765625
12,40.11305555444284,-117.20277777688142,1509.853515625,10.823575973510742,87.70885467529297,0.128662109375,-5.564697265625
13,40.26527777696556,-117.47972222162376,1473.40576171875,10.237759590148926,84.57341003417969,0.04736328125,-14.74853515625
14,40.40111111056704,-117.2077777768868,1697.098388671875,35.16075897216797,27.337032318115234,0.5667724609375,61.7457275390625
15,39.15916666367088,-118.86083333422056,1524.565185546875,10.615339279174805,84.8514175415039,0.090087890625,-14.1707763671875
16,40.406388888355245,-117.70555555520004,1555.4888916015625,14.292210578918457,85.68914794921875,0.0523681640625,-2.7227783203125
17,38.458888884510685,-118.39972222261343,1734.7410888671875,10.571502685546875,85.67540740966797,0.060302734375,-37.9306640625
18,40.795555555790166,-117.45944444382418,1695.0908203125,34.238502502441406,84.71239471435547,0.0400390625,162.1624755859375
19,39.02416666340438,-118.77055555634568,1467.728759765625,10.557125091552734,86.43295288085938,0.0281982421875,39.7261962890625
20,40.79527777801184,-117.45861111048995,1683.05029296875,34.52614974975586,84.18949127197266,0.0069580078125,152.431396484375
21,39.15916666367088,-118.86111111199864,1524.159423828125,10.27896499633789,83.51496124267578,0.0157470703125,-13.7059326171875
22,40.77611111130734,-118.51138888940022,1679.367431640625,10.229355812072754,85.36847686767578,0.104736328125,9.2730712890625
23,38.70111110721108,-118.78805555636453,1659.4794921875,34.94295883178711,84.79347229003906,0.0264892578125,83.6199951171875
24,38.7247222183688,-118.9436111120874,1553.3779296875,10.973362922668457,86.48104858398438,0.07958984375,2.1385498046875
25,39.15916666367088,-118.86055555644248,1525.0184326171875,10.867324829101562,85.73336791992188,0.041748046875,-14.58154296875
26,39.81638888719053,-118.15750000013064,1690.9591064453125,34.695953369140625,84.5772705078125,0.172119140625,-117.78662109375
27,39.886111109550384,-118.9233333342878,1405.7366943359375,10.515250205993652,85.21749877929688,0.0704345703125,-2.10302734375
28,40.79972222246506,-118.1402777778899,1685.1953125,33.60590744018555,84.08419799804688,0.18994140625,28.83837890625
28,39.18361110816358,-118.8083333341641,1583.483642578125,10.8788480758667,87.12285614013672,0.07275390625,-31.963134765625
30,38.43222221779138,-118.56666666723748,1693.790771484375,31.851604461669922,84.38243103027344,0.2392578125,108.2032470703125
31,38.701388884989406,-118.79138888970142,1665.53564453125,34.884925842285156,85.82811737060547,0.09521484375,54.306884765625
32,40.09555555440829,-117.2455555547052,1538.3585205078125,10.674291610717773,86.86652374267578,0.03662109375,-22.9644775390625
32,38.458888884510685,-118.40000000039151,1734.42236328125,10.849762916564941,85.93436431884766,0.08984375,-37.7158203125
34,39.65472222020471,-117.85888888869832,1696.8526611328125,35.709110260009766,26.231584548950195,0.8685302734375,-117.1907958984375
35,40.73444444455841,-118.79111111192336,1646.93212890625,34.39820861816406,26.26833152770996,0.716552734375,66.98388671875
35,40.751111111257984,-117.50916666609989,1647.8858642578125,32.45114517211914,85.38846588134766,0.0484619140625,22.1751708984375
37,40.3719444438428,-117.57694444395058,1702.19580078125,34.989402770996094,24.466934204101562,0.06005859375,-117.9000244140625
38,39.1827777748286,-118.53250000053404,1697.09033203125,35.63712692260742,28.126432418823242,0.1055908203125,70.6500244140625
39,39.02388888562605,-118.771666667458,1462.1905517578125,10.484132766723633,88.0066146850586,0.0008544921875,37.9893798828125
40,40.795555555790166,-117.4591666660461,1696.6728515625,34.91461944580078,83.83454132080078,0.0498046875,164.1973876953125
41,39.728055553682815,-117.78694444417648,1666.850830078125,33.905731201171875,23.660982131958008,0.053955078125,-144.403076171875
42,40.37166666606448,-117.57694444395058,1695.0157470703125,34.297454833984375,26.41851806640625,0.073974609375,-125.5848388671875
43,40.74055555568159,-117.6313888884536,1677.745849609375,33.61326217651367,84.10848999023438,0.2755126953125,-113.09228515625
44,40.724722222317,-117.5219444438914,1695.555908203125,34.597267150878906,295.138671875,0.1522216796875,61.0301513671875
45,38.25277777299269,-118.36638888924423,1659.657958984375,33.99907302856445,28.078651428222656,0.005615234375,-67.9261474609375
45,38.458888884510685,-118.39944444483535,1735.0361328125,10.407114028930664,87.72438049316406,0.00830078125,-38.1685791015625
47,38.57583332918599,-118.40527777817496,1704.716064453125,33.33600997924805,25.30023956298828,0.214111328125,93.465576171875
48,39.22138888601594,-118.3586111114581,1694.668701171875,34.36228942871094,25.163169860839844,0.4117431640625,86.1834716796875
49,39.696944442510286,-117.85222222202448,1669.3021240234375,35.257266998291016,29.853187561035156,0.903076171875,-44.6683349609375
49,40.79583333356849,-117.4591666660461,1713.8392333984375,34.81693649291992,83.80204010009766,0.1331787109375,180.4559326171875
