occurrence_id,cid,idn,taxon_name,taxon_rank,tid,oei,early_age_ma,late_age_ma,rid,longitude,latitude,phylum,phn,class,cln,order,odn,family,fmn,gnl,gnn,idg,rsg,ids,rss,env,formation,cxi,ref,query_taxon,tec,gcm,member,oli,stratgroup,tdf,iid,idr,mid_age_ma,in_nevada,elevation_m,slope_deg,aspect_deg,tri,tpi_15m
occ:906313,col:101860,,Cymbospondylus petrinus,3,txn:170850,Triassic,251.902,201.4,ref:34630,-118.099998,40.548058,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,petrinus,,marine indet.,,16,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Ichthyosauria,,,,,,,,,226.651,True,1564.6199,2.9109364,293.20764,0.40901184,-0.5478515625
occ:906314,col:101860,,Chonespondylus grandis,3,txn:174450,Triassic,251.902,201.4,ref:34630,-118.099998,40.548058,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Chonespondylus,,grandis,,marine indet.,,16,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Ichthyosauria,,,,,,,,,226.651,True,1564.6199,2.9109364,293.20764,0.40901184,-0.5478515625
occ:908629,col:102368,,Shonisaurus popularis,3,txn:170857,Lacian,227.3,215.38,ref:34761,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,popularis,,open shallow subtidal,Luning,136,"J. A. Hogler and R. A. Hanger. 1989. A new condrophorine (Hydrozoa, Velellidae) from the Upper Triassic of Nevada. Journal of Paleontology 63(2):249-251",Ichthyosauria,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,,,,221.34,True,2137.8752,9.736488,5.863499999999988,1.3248291,-72.707763671875
occ:908660,col:102378,Mixosaurus sp.,Mixosaurus,5,txn:36562,Anisian,246.7,237.0,ref:34765,-117.558891,40.059166,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Mixosaurus,txn:36562,Mixosaurus,,sp.,,open shallow subtidal,Favret,45,"P. M. Sander, O. C. Rieppel, and H. Bucher. 1994. A new marine vertebrate fauna from the Middle Triassic of Nevada. Journal of Paleontology 68(3):676-680",Ichthyosauria,,,Fossil Hill,Ladinian,Star Peak,,,,241.85,True,1386.3993,8.003772,160.61334,1.127243,-75.7109375
occ:908661,col:102379,Mixosaurus sp.,Mixosaurus,5,txn:36562,Anisian,246.7,237.0,ref:34765,-117.633888,40.224998,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Mixosaurus,txn:36562,Mixosaurus,,sp.,,open shallow subtidal,Favret,45,"P. M. Sander, O. C. Rieppel, and H. Bucher. 1994. A new marine vertebrate fauna from the Middle Triassic of Nevada. Journal of Paleontology 68(3):676-680",Ichthyosauria,,,Fossil Hill,Ladinian,Star Peak,,,,241.85,True,1551.2738,11.997623,67.3295,1.6387024,4.5611572265625
occ:909076,col:102473,Mixosaurus cf. natans,Mixosaurus,5,txn:36562,Illyrian,243.33,241.464,ref:34775,-117.53833,40.048611,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Mixosaurus,txn:36562,Mixosaurus,,natans,cf.,marine indet.,Favret,139,P. M. Sander and H. Boucher. 1990. On the presence of Mixosaurus (Ichthyopterygia: Reptilia) in the Middle Triassic of Nevada. Journal of Paleontology 64(1):161-164,Ichthyosauria,,,Fossil Hill,,,species not entered,,,242.397,True,1688.8705,30.268324,150.68983,4.549591,-131.465576171875
occ:934002,col:107398,,Cymbospondylus petrinus,3,txn:170850,Middle Triassic,246.7,237.0,ref:35747,-118.136673,40.405666,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,petrinus,,carbonate indet.,,45,"J. C. Merriam. 1905. A primitive ichthyosaurian limb from the Middle Triassic of Nevada. University of California Publications, Bulletin of the Department of Geological Sciences 4(2):33-38",Ichthyosauria,,,,,,,,,241.85,True,1735.8654,22.134167,4.596859999999992,3.1330261,-101.7689208984375
occ:1095497,col:138264,Thalattoarchon saurophagis n. gen. n. sp.,Thalattoarchon saurophagis,3,txn:255032,Pelsonian,244.24,243.33,ref:44210,-117.540001,40.049999,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,NO_FAMILY_SPECIFIED,txn:NF,Thalattoarchon,txn:255031,Thalattoarchon,n. gen.,saurophagis,n. sp.,marine indet.,Favret,139,"N. B. Fröbisch, J. Fröbisch, and P. M. Sander, L. Schmitz, O. Rieppel. 2013. Macropredatory ichthyosaur from the Middle Triassic and the origin of modern trophic networks. Proceedings of the National Academy of Sciences 110(4):1393-1397",Ichthyosauria,,,Fossil Hill,,Star Peak,,,,243.78500000000005,True,1644.432,29.505507,64.22149999999999,4.3898926,-142.8349609375
occ:1186493,col:75086,Cymbospondylus nevadanus n. sp.,Cymbospondylus nevadanus,3,txn:285192,Illyrian,243.33,241.464,ref:49358,-117.532784,39.578609,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,nevadanus,n. sp.,carbonate indet.,,139,J. C. Merriam. 1908. Triassic Ichthyosauria. Memoirs of the University of California 1(1):1-155,Ichthyosauria,,,,,,,,,242.397,True,1746.1675,10.370363,57.98288000000002,1.4583588,-78.3154296875
occ:1412645,col:195195,cf. Utatsusaurus sp.,Utatsusaurus,5,txn:36578,Spathian,248.1,246.7,ref:66434,-118.075836,40.277779,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Utatsusauridae,txn:38872,Utatsusaurus,txn:36578,Utatsusaurus,cf.,sp.,,marine indet.,Prida,652,"N. P. Kelley, R. Motani, and P. Embree, M. J. Orchard. 2016. A new Lower Triassic ichthyopterygian assemblage from Fossil Hill, Nevada. PeerJ 4(e1626)",Ichthyosauria,,,lower (unnamed),,Star Peak,,,,247.4,True,1484.1575,14.545467,358.54828,1.9672699,6.429443359375
occ:1412647,col:195195,cf. Grippiidae indet.,Grippiidae,9,txn:172916,Spathian,248.1,246.7,ref:66434,-118.075836,40.277779,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Grippiidae,txn:172916,,,Grippiidae,cf.,indet.,,marine indet.,Prida,652,"N. P. Kelley, R. Motani, and P. Embree, M. J. Orchard. 2016. A new Lower Triassic ichthyopterygian assemblage from Fossil Hill, Nevada. PeerJ 4(e1626)",Ichthyosauria,,,lower (unnamed),,Star Peak,,,,247.4,True,1484.1575,14.545467,358.54828,1.9672699,6.429443359375
occ:1417529,col:196200,Cymbospondylus nichollsi n. sp.,Cymbospondylus nichollsi,3,txn:263055,Anisian,246.7,241.464,ref:66739,-117.539444,40.001389,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,nichollsi,n. sp.,marine indet.,Favret,139,"N. B. Fröbisch, P. M. Sander, and O. Rieppel. 2006. A new species of Cymbospondylus (Diapsida, Ichthyosauria) from the Middle Triassic of Nevada and a re-evaluation of the skull osteology of the genus. Zoological Journal of the Linnean Society 147(4):515-538",Ichthyosauria,,,Fossil Hill,,,,,,244.082,True,2355.0105,13.044602,314.6051,1.6631165,172.2802734375
occ:1419019,col:196634,Omphalosaurus nettarhynchus n. sp.,Omphalosaurus nettarhynchus,3,txn:176045,Spathian,248.1,246.7,ref:66896,-118.126663,40.50861,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Omphalosauridae,txn:38873,Omphalosaurus,txn:36565,Omphalosaurus,,nettarhynchus,n. sp.,marine indet.,Prida,652,"J.-M. Mazin and H. F. R. Bucher. 1987. [(Omphalosaurus nettarhynchus, a new Omphalosaurid species (Reptilia, Ichthyopterygia) from the Spathian of the Humboldt Range, Nevada, USA)]. Comptes rendus de l'Académie des sciences. Série 2, Mécanique, Physique, Chimie, Sciences de l'univers, Sciences de la Terre 305(9):823-828",Ichthyosauria,,,,,,,,,247.4,True,1738.4635,13.393788,312.43414,1.7754364,-9.2991943359375
occ:1419160,col:98011,Mixosaurus callawayi n. sp.,Phalarodon callawayi,3,txn:258580,Illyrian,243.33,241.464,ref:66919,-117.566666,40.033333,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Phalarodon,txn:36568,Mixosaurus,,callawayi,n. sp.,marginal marine indet.,Favret,139,"L. Schmitz, P. M. Sander, and G. W. Storrs, O. Rieppel. 2004. New Mixosauridae (Ichthyosauria) from the Middle Triassic of the Augusta Moutnains (Nevada, USA) and their implications for mixosaur taxonomy. Palaeontographica Abteilung A 270:133-162",Ichthyosauria,,,Fossil Hill,,Star Peak,recombined as,var:258580,,242.397,True,1706.645,29.546358,98.43372,4.416397,19.845703125
occ:1419479,col:102368,Shonisaurus mulleri n. sp.,Shonisaurus,5,txn:36572,Lacian,227.3,215.38,ref:67019,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,mulleri,n. sp.,open shallow subtidal,Luning,136,J. M. Mazin and P. M. Sander. 1993. Palaeobiogeography of the Early and Late Triassic ichthyopterygia. Paleontologia Lombarda 2:93-107,Ichthyosauria,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,species not entered,txn:377583,3.0,221.34,True,2137.8752,9.736488,5.863499999999988,1.3248291,-72.707763671875
occ:1419480,col:102368,Shonisaurus silberlingi n. sp.,Shonisaurus,5,txn:36572,Lacian,227.3,215.38,ref:67019,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,silberlingi,n. sp.,open shallow subtidal,Luning,136,J. M. Mazin and P. M. Sander. 1993. Palaeobiogeography of the Early and Late Triassic ichthyopterygia. Paleontologia Lombarda 2:93-107,Ichthyosauria,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,species not entered,txn:377584,3.0,221.34,True,2137.8752,9.736488,5.863499999999988,1.3248291,-72.707763671875
occ:1504406,col:209724,Cymbospondylus duelferi n. sp.,Cymbospondylus duelferi,3,txn:418928,Illyrian,243.33,241.464,ref:72341,-117.558891,40.059166,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,duelferi,n. sp.,marine indet.,Favret,139,"N. Klein, L. Schmitz, and T. Wintrich, P. M. Sander. 2020. A new cymbospondylid ichthyosaur (Ichthyosauria) from the Middle Triassic (Anisian) of the Augusta Mountains, Nevada, USA. Journal of Systematic Palaeontology",Ichthyosauria,,,Fossil Hill,,Star Peak,,,,242.397,True,1386.3993,8.003772,160.61334,1.127243,-75.7109375
