oid,cid,idn,tna,rnk,tid,oei,eag,lag,rid,lng,lat,phl,phn,cll,cln,odl,odn,fml,fmn,gnl,gnn,idg,rsg,ids,rss,env,sfm,cxi,ref,query_taxon,tec,gcm,smb,oli,sgr,tdf,iid,idr
occ:906286,col:101858,Ichthyosauria indet.,Ichthyosauria,25,txn:36543,Illyrian,243.33,241.464,ref:34630,-116.716667,40.000000,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,,,,,Ichthyosauria,,indet.,,marine indet.,,139,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Ichthyosauria,,,,,,,,
occ:906287,col:101858,,Cymbospondylus piscosus,3,txn:172947,Illyrian,243.33,241.464,ref:34630,-116.716667,40.000000,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,piscosus,,marine indet.,,139,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Ichthyosauria,,,,,,,,
occ:906313,col:101860,,Cymbospondylus petrinus,3,txn:170850,Triassic,251.902,201.4,ref:34630,-118.099998,40.548058,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,petrinus,,marine indet.,,16,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Ichthyosauria,,,,,,,,
occ:906314,col:101860,,Chonespondylus grandis,3,txn:174450,Triassic,251.902,201.4,ref:34630,-118.099998,40.548058,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Chonespondylus,,grandis,,marine indet.,,16,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Ichthyosauria,,,,,,,,
occ:908629,col:102368,,Shonisaurus popularis,3,txn:170857,Lacian,227.3,215.38,ref:34761,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,popularis,,open shallow subtidal,Luning,136,"J. A. Hogler and R. A. Hanger. 1989. A new condrophorine (Hydrozoa, Velellidae) from the Upper Triassic of Nevada. Journal of Paleontology 63(2):249-251",Ichthyosauria,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,,,
occ:908660,col:102378,Mixosaurus sp.,Mixosaurus,5,txn:36562,Anisian,246.7,237.0,ref:34765,-117.558891,40.059166,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Mixosaurus,txn:36562,Mixosaurus,,sp.,,open shallow subtidal,Favret,45,"P. M. Sander, O. C. Rieppel, and H. Bucher. 1994. A new marine vertebrate fauna from the Middle Triassic of Nevada. Journal of Paleontology 68(3):676-680",Ichthyosauria,,,Fossil Hill,Ladinian,Star Peak,,,
occ:908661,col:102379,Mixosaurus sp.,Mixosaurus,5,txn:36562,Anisian,246.7,237.0,ref:34765,-117.633888,40.224998,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Mixosaurus,txn:36562,Mixosaurus,,sp.,,open shallow subtidal,Favret,45,"P. M. Sander, O. C. Rieppel, and H. Bucher. 1994. A new marine vertebrate fauna from the Middle Triassic of Nevada. Journal of Paleontology 68(3):676-680",Ichthyosauria,,,Fossil Hill,Ladinian,Star Peak,,,
occ:909076,col:102473,Mixosaurus cf. natans,Mixosaurus,5,txn:36562,Illyrian,243.33,241.464,ref:34775,-117.538330,40.048611,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Mixosaurus,txn:36562,Mixosaurus,,natans,cf.,marine indet.,Favret,139,P. M. Sander and H. Boucher. 1990. On the presence of Mixosaurus (Ichthyopterygia: Reptilia) in the Middle Triassic of Nevada. Journal of Paleontology 64(1):161-164,Ichthyosauria,,,Fossil Hill,,,species not entered,,
occ:934002,col:107398,,Cymbospondylus petrinus,3,txn:170850,Middle Triassic,246.7,237.0,ref:35747,-118.136673,40.405666,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,petrinus,,carbonate indet.,,45,"J. C. Merriam. 1905. A primitive ichthyosaurian limb from the Middle Triassic of Nevada. University of California Publications, Bulletin of the Department of Geological Sciences 4(2):33-38",Ichthyosauria,,,,,,,,
occ:1095497,col:138264,Thalattoarchon saurophagis n. gen. n. sp.,Thalattoarchon saurophagis,3,txn:255032,Pelsonian,244.24,243.33,ref:44210,-117.540001,40.049999,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,NO_FAMILY_SPECIFIED,txn:NF,Thalattoarchon,txn:255031,Thalattoarchon,n. gen.,saurophagis,n. sp.,marine indet.,Favret,139,"N. B. Fröbisch, J. Fröbisch, and P. M. Sander, L. Schmitz, O. Rieppel. 2013. Macropredatory ichthyosaur from the Middle Triassic and the origin of modern trophic networks. Proceedings of the National Academy of Sciences 110(4):1393-1397",Ichthyosauria,,,Fossil Hill,,Star Peak,,,
occ:1186493,col:75086,Cymbospondylus nevadanus n. sp.,Cymbospondylus nevadanus,3,txn:285192,Illyrian,243.33,241.464,ref:49358,-117.532784,39.578609,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,nevadanus,n. sp.,carbonate indet.,,139,J. C. Merriam. 1908. Triassic Ichthyosauria. Memoirs of the University of California 1(1):1-155,Ichthyosauria,,,,,,,,
occ:1412645,col:195195,cf. Utatsusaurus sp.,Utatsusaurus,5,txn:36578,Spathian,248.1,246.7,ref:66434,-118.075836,40.277779,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Utatsusauridae,txn:38872,Utatsusaurus,txn:36578,Utatsusaurus,cf.,sp.,,marine indet.,Prida,652,"N. P. Kelley, R. Motani, and P. Embree, M. J. Orchard. 2016. A new Lower Triassic ichthyopterygian assemblage from Fossil Hill, Nevada. PeerJ 4(e1626)",Ichthyosauria,,,lower (unnamed),,Star Peak,,,
occ:1412647,col:195195,cf. Grippiidae indet.,Grippiidae,9,txn:172916,Spathian,248.1,246.7,ref:66434,-118.075836,40.277779,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Grippiidae,txn:172916,,,Grippiidae,cf.,indet.,,marine indet.,Prida,652,"N. P. Kelley, R. Motani, and P. Embree, M. J. Orchard. 2016. A new Lower Triassic ichthyopterygian assemblage from Fossil Hill, Nevada. PeerJ 4(e1626)",Ichthyosauria,,,lower (unnamed),,Star Peak,,,
